roll_num,roll_value,timestamp,player_name
1,27,1479031.32,精品骑士
2,28,1479033.51,精品骑士
3,28,1479034.01,精品骑士
4,81,1479034.23,精品骑士
5,87,1479034.48,精品骑士
6,20,1479034.73,精品骑士
7,30,1479034.94,精品骑士
8,99,1479035.16,精品骑士
9,32,1479035.33,精品骑士
10,67,1479035.51,精品骑士
11,27,1479035.71,精品骑士
12,36,1479035.88,精品骑士
13,34,1479036.06,精品骑士
14,77,1479036.23,精品骑士
15,7,1479036.42,精品骑士
16,80,1479036.63,精品骑士
17,72,1479036.78,精品骑士
18,82,1479036.99,精品骑士
19,88,1479037.17,精品骑士
20,73,1479037.39,精品骑士
21,37,1479037.53,精品骑士
22,53,1479037.74,精品骑士
23,38,1479037.93,精品骑士
24,95,1479038.07,精品骑士
25,71,1479038.28,精品骑士
26,2,1479038.46,精品骑士
27,76,1479038.68,精品骑士
28,8,1479038.89,精品骑士
29,30,1479039.07,精品骑士
30,71,1479039.29,精品骑士
31,78,1479039.43,精品骑士
32,27,1479039.61,精品骑士
33,13,1479039.83,精品骑士
34,28,1479040.04,精品骑士
35,45,1479040.18,精品骑士
36,88,1479040.40,精品骑士
37,3,1479040.61,精品骑士
38,95,1479040.79,精品骑士
39,73,1479041.01,精品骑士
40,44,1479041.19,精品骑士
41,89,1479041.40,精品骑士
42,45,1479041.58,精品骑士
43,88,1479041.80,精品骑士
44,6,1479042.05,精品骑士
45,27,1479042.19,精品骑士
46,57,1479042.37,精品骑士
47,6,1479042.58,精品骑士
48,49,1479042.80,精品骑士
49,15,1479042.98,精品骑士
50,14,1479043.16,精品骑士
51,97,1479043.39,精品骑士
52,71,1479043.55,精品骑士
53,10,1479043.77,精品骑士
54,87,1479043.91,精品骑士
55,65,1479044.16,精品骑士
56,55,1479044.31,精品骑士
57,71,1479044.49,精品骑士
58,50,1479044.71,精品骑士
59,52,1479044.88,精品骑士
60,72,1479045.10,精品骑士
61,76,1479045.31,精品骑士
62,95,1479045.50,精品骑士
